day,start_time,end_time,subject,venue,teacher
Monday,9,10,,,
Monday,10,11,OS,202,Abhijeet
Monday,11,12,DEC,201,Deepika
Monday,12,13,DAA,202,Aparna
Monday,13,14,Lunch Break,,
Monday,14,15,DS,202,Archana
Monday,15,17,,,
Tuesday,9,10,,,
Tuesday,10,11,SE-2,202,Tanuja
Tuesday,11,12,DEC,201,Deepika
Tuesday,12,13,DAA,202,Aparna
Tuesday,13,14,Lunch Break,,
Tuesday,14,15,OS,202,Abhijeet
Tuesday,15,17,OS,,Abhijeet
Wednesday,9,10,,,
Wednesday,10,11,,,
Wednesday,11,12,,201,
Wednesday,12,13,,,
Wednesday,13,14,Lunch Break,,
Wednesday,14,15,OS,202,Abhijeet
Wednesday,15,17,SE-2,,Tanuja
Thursday,9,10,,,
Thursday,10,11,DS,202,
Thursday,11,12,DEC,201,Deepika
Thursday,12,13,SE-2,202,Tanuja
Thursday,13,14,Lunch Break,,
Thursday,14,15,DAA,202,Aparna
Thursday,15,17,DS,,Khushal
Friday,9,10,,,
Friday,10,11,SE-2,202,Tanuja
Friday,11,12,,201,
Friday,12,13,DAA,202,Aparna
Friday,13,14,Lunch Break,,
Friday,14,15,DS,202,Archana
Friday,15,17,DEC,,RANDOM1
